Accession	100SeedWeightCVARS2016	seedmass	Average10seedslength_mm	Average10seedswidth_mm	width2 	denominator	density
Nhacoongo-1	25.89	0.2589	8.73	6.54	42.7716	293.264586027	0.0008828205
Nhacoongo-3	25.08	0.2508	8.41	5.5	30.25	199.8072562637	0.0012552097
Pakau	18.24	0.1824	7.04	4.85	23.5225	130.0606792216	0.0014024223
Prima	12.98	0.1298	6.58	4.39	19.2721	99.5966693969	0.0013032564
Sanzi	7.29	0.0729	4.76	3.14	9.8596	36.8600678435	0.00197775
SASAQUE	14.8	0.148	7.4	4.32	18.6624	108.464868666	0.0013644971
Suvita-2	18.13	0.1813	7.95	5.01	25.1001	156.7229009067	0.0011568188
Tete-2	25.69	0.2569	9.58	6.31	39.8161	299.5808915748	0.0008575313
Timbawene-Moteado	12.43	0.1243	6.1	4.34	18.8356	90.2400184436	0.0013774377
TVu-1000	11.45	0.1145	5.45	4.14	17.1396	73.3646864694	0.0015606964
TVu-1004	17.67	0.1767	6.07	5.9	34.81	165.9520401119	0.0010647655
TVu-10100	10.77	0.1077	5.15	4.14	17.1396	69.326263361	0.0015535238
TVu-1016	16.71	0.1671	7.44	5.05	25.5025	149.0203479656	0.0011213234
TVu-10179	14	0.14	7.53	4.68	21.9024	129.531848647	0.0010808153
TVu-10281	16.25	0.1625	7.86	4.64	21.5296	132.9071632276	0.001222658
TVu-1036	13.2	0.132	6.05	4.3	18.49	87.8581728494	0.0015024214
TVu-10366	12.69	0.1269	6.21	4.02	16.1604	78.8194840594	0.001610008
TVu-1037	12.02	0.1202	6.39	4.51	20.3401	102.0807432014	0.0011774993
TVu-10466	10.05	0.1005	5.1	3.87	14.9769	59.9904317423	0.0016752672
TVu-10513	7.46	0.0746	5.54	2.75	7.5625	32.9052378032	0.0022671163
TVu-1059	20.48	0.2048	7.61	5.87	34.4569	205.9447572802	0.0009944414
TVu-10892	7.24	0.0724	4.63	3.15	9.9225	36.0821144693	0.0020065343
TVu-1124	21.51	0.2151	7.93	5.81	33.7561	210.2399930216	0.0010231165
TVu-113	11.82	0.1182	6.76	3.69	13.6161	72.2918451446	0.0016350392
TVu-12565	9.88	0.0988	6.45	3.34	11.1556	56.5122409978	0.0017482938
TVu-12710	8.25	0.0825	4.9	3.39	11.4921	44.2267837445	0.0018653855
TVu-12746	15.23	0.1523	6.52	4.74	22.4676	115.0519967792	0.0013237493
TVu-1280	12.48	0.1248	5.95	5.16	26.6256	124.4245991692	0.0010030171
TVu-12804	8.49	0.0849	4.84	2.97	8.8209	33.531126312	0.0025319758
TVu-12873	8.18	0.0818	5.36	2.71	7.3441	30.9167086137	0.0026458185
TVu-12897	11.03	0.1103	6.24	3.3	10.89	53.3706326362	0.0020666796
TVu-12923	8.17	0.0817	5.34	2.98	8.8804	37.2446302003	0.0021936048
TVu-12937	11.23	0.1123	5.97	4.01	16.0801	75.3968076133	0.001489453
TVu-12968	11.08	0.1108	7.27	3.1	9.61	54.8716070663	0.0020192592
TVu-13017	13.68	0.1368	8.2	3.86	14.8996	95.9573714979	0.001425633
TVu-132	8.21	0.0821	5.04	2.91	8.4681	33.5201841448	0.0024492706
TVu-1330	14.62	0.1462	4.79	5.5	30.25	113.8022303809	0.0012846848
TVu-13305	11.59	0.1159	5.69	3.96	15.6816	70.0797460847	0.0016538302
TVu-13388	10.17	0.1017	5.32	4.06	16.4836	68.8737263641	0.0014766153
TVu-13463	16.04	0.1604	6.96	4.61	21.2521	116.171867746	0.0013807129
TVu-13485	9.94	0.0994	4.79	3.57	12.7449	47.9470428424	0.0020731206
TVu-13778	10.84	0.1084	5.31	4.06	16.4836	68.7442644724	0.0015768588
TVu-13939	10.51	0.1051	5.72	3.68	13.5424	60.8389272233	0.0017275124
TVu-13950	17.01	0.1701	6.87	5.03	25.3009	136.5156962951	0.0012460106
TVu-13958	11.35	0.1135	6.86	3.55	12.6025	67.9001452299	0.0016715723
TVu-13965	17.59	0.1759	8.86	4.41	19.4481	135.3320879111	0.0012997657
TVu-13968	12.47	0.1247	6.91	3.82	14.5924	79.1944331426	0.0015746056
TVu-13979	20.39	0.2039	7.5	5.59	31.2481	184.0665026224	0.0011077518
TVu-14172	11.42	0.1142	6.19	4.19	17.5561	85.3509926309	0.0013380044
TVu-14190	18.75	0.1875	6.65	5.11	26.1121	136.3808292933	0.0013748267
TVu-14195	11.41	0.1141	7.4	4.24	17.9776	104.484847765	0.0010920244
TVu-14224	12.18	0.1218	6.29	4.1	16.81	83.043996267	0.0014666924
TVu-14248	8.38	0.0838	5.01	3.74	13.9876	55.0390351052	0.0015225558
TVu-14253	15.63	0.1563	6.84	4.55	20.7025	111.2163854677	0.0014053685
TVu-14272	18.34	0.1834	8.24	5.57	31.0249	200.7832517118	0.0009134228
TVu-14321	16.26	0.1626	6.63	5.08	25.8064	134.3788234567	0.0012100121
TVu-14336	20.18	0.2018	7.82	5.1	26.01	159.7485727183	0.0012632351
TVu-14345	11.1	0.111	5.88	3.71	13.7641	63.5645573016	0.0017462562
TVu-14346	9.14	0.0914	4.95	3.53	12.4609	48.4445014727	0.001886695
TVu-14393	18.05	0.1805	7.27	5.36	28.7296	164.0415527963	0.001100331
TVu-14401	10.3	0.103	6.14	3.42	11.6964	56.4040728211	0.0018261093
TVu-14533	19.68	0.1968	7.55	5.97	35.6409	211.3418453838	0.0009311928
TVu-14621	11.82	0.1182	6.31	3.81	14.5161	71.9397943449	0.0016430406
TVu-14632	7.8	0.078	3.99	3.65	13.3225	41.7492334571	0.0018682978
TVu-14633	8.94	0.0894	5.51	3.34	11.1556	48.2763485113	0.0018518385
TVu-14691	9.12	0.0912	4.44	3.83	14.6689	51.1529164086	0.0017828895
TVu-14759	18.72	0.1872	6.39	5.19	26.9361	135.1840505675	0.0013847787
TVu-1477	17.87	0.1787	7.76	4.87	23.7169	144.5471472835	0.0012362748
TVu-14862	15.47	0.1547	8.6	3.86	14.8996	100.6382188881	0.0015371894
TVu-14875	11.93	0.1193	7.6	3.26	10.6276	63.4364211621	0.0018806231
TVu-14949	15.42	0.1542	6.84	4.66	21.7156	116.6588837224	0.0013218025
TVu-14970	11.85	0.1185	6.55	4.38	19.1844	98.6914210445	0.0012007123
TVu-14971	14.7	0.147	7.07	4.7	22.09	122.6605791862	0.001198429
TVu-15114	9.7	0.097	5.62	3.27	10.6929	47.1977942002	0.0020551808
TVu-15143	9.99	0.0999	5.2	4.07	16.5649	67.6522185917	0.00147667
TVu-15315	16.79	0.1679	7.8	4.81	23.1361	141.7341934958	0.0011846118
TVu-1536	12.42	0.1242	5.67	4.16	17.3056	77.0654292083	0.0016116176
TVu-15391	14.9	0.149	6.17	4.71	22.1841	107.5020781172	0.0013860197
TVu-15400	9.47	0.0947	5.62	4	16	70.6230028527	0.0013409229
TVu-15411	7.99	0.0799	5.31	3.32	11.0224	45.9685251232	0.0017381458
TVu-15426	13.27	0.1327	5.94	4.25	18.0625	84.2663506986	0.0015747686
TVu-15445	13.52	0.1352	5.93	4.56	20.7936	96.844343635	0.0013960547
TVu-15500	11.46	0.1146	5.97	3.88	15.0544	70.587477723	0.0016235174
